SITECODE,LCODE,VISIT,SDATE,FROMHOUR,FROMMINS,TOHOUR,TOMINS,CLOUD,RAIN,WIND,VISIBILITY
T06,01,L,15-Jul-08,8,35,10,0,1,0,1,2
T02,03,L,28-Jul-08,7,15,9,15,3,1,3,2
T04,01,E,15-Apr-09,12,20,13,30,3,1,3,2
T10,02,E,23-Apr-09,8,30,9,35,,,,
T10,01,E,23-Apr-09,7,0,8,5,3,0,0,2
T05,01,E,23-Apr-09,6,14,8,5,1,1,1,1
T07,01,E,04-May-09,8,28,9,25,3,1,3,1
T12,01,E,04-May-09,6,40,8,10,3,1,2,2
T07,04,E,04-May-09,9,50,11,3,3,1,3,1
T07,03,E,04-May-09,11,3,12,20,3,1,3,1
T07,02,E,04-May-09,7,0,8,29,3,1,3,1
T04,02,E,11-May-09,13,45,15,40,1,1,3,1
T11,01,E,12-May-09,8,55,10,35,2,1,2,1
T04,01,L,13-May-09,11,25,12,55,2,1,3,1
T03,01,E,13-May-09,6,40,8,5,2,1,2,1
T02,02,E,17-May-09,7,30,9,30,3,1,2,3
T02,01,E,17-May-09,7,30,9,30,3,1,2,3
T09,01,E,25-May-09,6,0,7,50,1,1,1,1
T02,03,E,29-May-09,8,0,9,30,1,1,2,1
T12,01,L,01-Jun-09,5,34,6,58,1,1,1,3
T05,01,L,04-Jun-09,5,36,7,10,3,1,2,1
T06,01,E,04-Jun-09,9,0,10,10,0,0,1,1
T04,02,L,09-Jun-09,14,15,16,10,3,1,3,1
T07,02,L,15-Jun-09,10,40,11,50,2,1,1,1
T07,03,L,15-Jun-09,6,53,8,40,3,1,1,1
T07,04,L,15-Jun-09,8,40,9,43,2,1,1,1
T10,02,L,16-Jun-09,6,40,8,0,,,,
T10,01,L,16-Jun-09,8,15,9,30,0,0,0,0
T07,01,L,17-Jun-09,8,12,10,2,3,2,2,1
T11,01,L,24-Jun-09,9,0,10,30,1,1,1,1
T03,01,L,29-Jun-09,6,0,7,45,2,1,1,1
T09,01,L,30-Jun-09,5,20,7,0,1,1,1,1
T02,02,L,02-Jul-09,6,30,9,30,2,1,2,1
T02,01,L,02-Jul-09,6,30,9,30,2,1,2,1
T02,03,L,09-Jul-09,7,0,9,0,3,2,2,2
T06,01,L,14-Aug-09,8,35,9,40,3,0,2,3
T04,03,E,16-Apr-10,10,30,12,5,3,1,1,1
T04,01,E,16-Apr-10,10,25,12,0,1,1,1,1
T10,01,E,27-Apr-10,7,50,9,5,1,1,1,1
T10,02,E,27-Apr-10,6,40,7,40,1,1,1,2
T05,01,E,29-Apr-10,5,45,7,55,3,1,1,1
T07,01,E,03-May-10,7,46,9,40,2,1,1,1
T07,02,E,03-May-10,6,32,7,46,1,1,1,1
